Date/Time;TIMESTAMP_START;TIMESTAMP_END;TA_F;SW_IN_POT;SW_IN_F;LW_IN_F;VPD_F;PA_F;P_F;WS_F;WD;USTAR;RH;PPFD_IN;PPFD_OUT;SW_DIF;SW_OUT;LW_OUT;CO2_F_MDS;TS_F_MDS_1;TS_F_MDS_2;TS_F_MDS_3;TS_F_MDS_4;TS_F_MDS_5;SWC_F_MDS_1;SWC_F_MDS_2;SWC_F_MDS_3;G_F_MDS;LE_F_MDS;LE_RANDUNC;H_F_MDS;H_RANDUNC;NIGHT;NEE_VUT_REF;NEE_VUT_REF_JOINTUNC;RECO_NT_VUT_REF;GPP_NT_VUT_REF
42370,02083;201601010000;201601010030;0,82;0;0;315,43;0;96,651;0;5,067;228,1;0,660436;100;0;0;0;0;319,24;457,89;3;3,075;4,48;5,27;6,53;40,532;38,93;43,59;-6,212;-2,81593;11,4761;-15,9569;25,1398;1;0,16602;1,38318;0,274814;0,108794
42370,04167;201601010030;201601010100;0,76;0;0;316,54;0;96,675;0;4,88;228,83;0,610088;100;0;0;0;0;318,77;457,89;3,015;3,085;4,475;5,26;6,52;40,45;38,86;43,51;-6,136;-2,81593;11,4761;-88,0926;30,1024;1;0,318989;0,61968;0,273689;-0,0452995
42370,0625;201601010100;201601010130;0,88;0;0;317,94;0;96,677;0;3,885;233,77;0,643265;100;0;0;0;0;319,61;457,89;3,04;3,095;4,48;5,25;6,52;40,388;38,82;43,46;-6,06;-2,81593;11,4761;-24,2227;28,5504;1;-0,253657;0,582842;0,27594;0,529597
42370,08333;201601010130;201601010200;0,88;0;0;316,63;0;96,694;0;3,621;235,07;0,552541;100;0;0;0;0;319,92;457,89;3,07;3,105;4,47;5,24;6,51;40,502;38,77;43,38;-5,862;-2,81593;11,4534;-15,9373;25,1459;1;0,280571;0,596098;0,27594;-0,00463066
42370,10417;201601010200;201601010230;0,93;0;0;318,29;0;96,718;0;3,527;238,23;0,533965;100;0;0;0;0;320,42;457,89;3,085;3,115;4,475;5,23;6,505;40,288;38,7;43,33;-5,734;-2,96221;11,4345;-28,4974;19,828;1;-0,521534;0,371287;0,27688;0,798414
42370,125;201601010230;201601010300;0,94;0;0;318,01;0;96,712;0;3,442;229,1;0,563708;100;0;0;0;0;320,26;457,89;3,12;3,125;4,47;5,215;6,495;40,362;38,65;43,3;-5,586;-2,96221;11,4534;-50,6842;20,7539;1;0,224023;0,29023;0,277068;0,0530454
42370,14583;201601010300;201601010330;0,91;0;0;318,76;0;96,727;0;2,55;234,97;0,631996;100;0;0;0;0;320,78;457,89;3,14;3,135;4,475;5,205;6,495;40,435;38,61;43,22;-5,402;-2,8694;11,4761;-35,0858;26,4238;1;0,0437941;1,3738;0,276504;0,23271
42370,16667;201601010330;201601010400;0,95;0;0;318,37;0;96,732;0;2,726;231,6;0,593296;100;0;0;0;0;320,74;457,89;3,16;3,15;4,475;5,205;6,485;40,343;38,56;43,22;-5,264;-2,96221;11,4761;-18,3789;25,0915;1;-0,135052;1,31903;0,277257;0,412309
42370,1875;201601010400;201601010430;1,08;0;0;318,18;0;96,724;0;2,777;231,8;-9999;100;0;0;0;0;321,27;457,89;3,18;3,16;4,47;5,19;6,48;40,358;38,54;43,17;-5,146;-3,1335;11,4987;-40,0545;24,8925;1;0,14551;1,38656;0,279707;0,134197
42370,20833;201601010430;201601010500;1,05;0;0;316,44;0;96,715;0;3,951;231,3;0,740355;100;0;0;0;0;320,71;457,89;3,2;3,175;4,475;5,185;6,475;40,22;38,49;43,14;-5,042;-3,1335;11,4987;-34,2483;26,7539;1;0,143157;1,38603;0,279141;0,135984
